,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,geometry
9336,1610108400,102,운서동2811-3,0,,POINT (155047.847399995 544751.4466000004)
9337,1610108500,102,운서동2811-3,0,,POINT (155076.4084999937 544718.9238000017)
157728,1610000100,106,인천국제공항공사진입로,1,,POINT (152649.9138999951 537978.3400999986)
157729,1610000101,101,운서동2850-10,1,,POINT (152617.6150999959 537956.2207999959)
157730,1610000102,101,운서동2850-10,1,,POINT (152208.1215999956 537955.9777999952)
157731,1610000103,101,운서동2850-10,1,,POINT (152577.5179999954 537932.9018999962)
157732,1610000104,101,운서동2850-10,1,,POINT (152427.7244999922 537910.9221000009)
157733,1610000105,101,합동청사역(인천자기부상),0,,POINT (152161.1447999994 537980.3111000026)
157734,1610000200,106,운서동2848,1,,POINT (153171.2733999944 538105.7569999998)
157735,1610000300,106,인천국제공항입구,1,,POINT (152657.3396999994 538438.3370000026)
157736,1610000500,101,운서동2851-55,0,,POINT (152542.7979999919 538555.6778999959)
157737,1610000600,106,신불IC남측,1,,POINT (154776.0691000009 539251.6603999966)
157738,1610000700,106,신불IC서측,0,,POINT (154509.1083999938 540084.4363999979)
157739,1610000800,106,신불IC북측,0,,POINT (154757.866999998 540396.5305999941)
157740,1610000900,101,신광사거리,1,,POINT (167798.0346999999 540618.1154999959)
157741,1610001000,101,신흥사거리,1,,POINT (167699.9762999938 540856.6973999924)
157742,1610001001,101,율목동행정복지센터,1,,POINT (167826.9279999952 541135.1900000018)
157743,1610001100,101,답동사거리,1,,POINT (167043.5534999975 541254.415699992)
157744,1610001101,101,경동사거리,1,,POINT (167178.4256999935 541495.8440999951)
157745,1610001200,101,신포사거리,1,,POINT (166725.2210999942 541266.2006999989)
157746,1610001201,101,해안동1가15,1,,POINT (166413.4089000002 541485.6358999938)
157747,1610001202,101,해안동2가11,0,,POINT (166517.363399998 541411.3414000017)
157748,1610001203,101,해안동3가4,0,,POINT (166626.5649999975 541333.2957999979)
157749,1610001500,101,제물진두순교성지,0,,POINT (166221.4605999965 541622.8168999987)
157750,1610001600,101,인천역사거리,1,,POINT (166165.1400999947 541824.2963999939)
157751,1610001700,101,인천역2번출구,0,,POINT (166163.345099994 542018.6731999989)
157752,1610001800,101,선광아파트,0,,POINT (166196.4361999929 542153.050699994)
157753,1610001900,101,인천동화마을공영주차장,0,,POINT (166248.1669999953 542242.2807999949)
157754,1610002000,101,만석고가교,0,,POINT (166405.1094999994 542389.781999999)
157755,1610002100,106,공항신도시IC남측,1,,POINT (154637.2843999928 542707.2619999957)
157756,1610002200,106,공항신도시IC서측,1,,POINT (154478.9837000008 543250.4982000014)
157757,1610002300,106,공항신도시IC북측,1,,POINT (155047.8320999959 543437.1402999979)
